Date,Close,High,Low,Open,Volume,asset_x,SplyCur,asset_y,AdrActCnt,MarketCap,Return,Inflation,USD_LBP
2018-01-01,13657.20019531,14112.20019531,13154.70019531,14112.20019531,10291200000.00000000,btc,16776348.58618491,btc,972783,229117951187.87512207,,0.00006693,1982.82438079
2018-01-02,14982.09960938,15444.59960938,13163.59960938,13625.00000000,16846600192.00000000,btc,16778486.08618490,btc,1142721,251376949837.73468018,0.09701106,0.00552915,2436.17709955
2018-01-03,15201.00000000,15572.79980469,14844.50000000,14978.20019531,16871900160.00000000,btc,16780448.58618488,btc,1130917,255079598958.59640503,0.01461080,0.00224672,2761.33601382
2018-01-04,15599.20019531,15739.70019531,14522.20019531,15270.70019531,21783199744.00000000,btc,16782548.58618486,btc,1253986,261794335183.45639038,0.02619566,0.00999482,3210.39878017
2018-01-05,17429.50000000,17705.19921875,15202.79980469,15477.20019531,23840899072.00000000,btc,16784336.08618409,btc,1069525,292542585814.14562988,0.11733293,0.00326630,2905.64615270
2018-01-06,17527.00000000,17712.40039062,16764.59960938,17462.09960938,18314600448.00000000,btc,16786436.08618407,btc,1163503,294215865282.54809570,0.00559396,0.00687927,3396.97337375
2018-01-07,16477.59960938,17579.59960938,16087.70019531,17527.30078125,15866000384.00000000,btc,16788461.08618405,btc,1130388,276633539835.71368408,-0.05987336,0.00662230,2582.47500019
2018-01-08,15170.09960938,16537.90039062,14208.20019531,16476.19921875,18413899776.00000000,btc,16790536.08612404,btc,1157303,254714104921.30712891,-0.07935015,0.00940214,2965.54305022
2018-01-09,14595.40039062,15497.50000000,14424.00000000,15123.70019531,16659999744.00000000,btc,16792586.08610402,btc,1145338,245094517520.72656250,-0.03788368,0.00218863,2604.64221513
2018-01-10,14973.29980469,14973.29980469,13691.20019531,14588.50000000,18500800512.00000000,btc,16794661.08609400,btc,1118949,251471495560.20404053,0.02589168,0.00778284,2023.43743526
2018-01-11,13405.79980469,15018.79980469,13105.90039062,14968.20019531,16534099968.00000000,btc,16797073.58609399,btc,1222969,225178205799.78039551,-0.10468634,0.00862226,2484.64403899
2018-01-12,13980.59960938,14229.90039062,13158.09960938,13453.90039062,12065699840.00000000,btc,16799298.58608398,btc,1153290,234864267250.37966919,0.04287695,0.00481451,1633.65926965
2018-01-13,14360.20019531,14659.50000000,13952.40039062,13952.40039062,12763599872.00000000,btc,16801161.08608397,btc,939348,241268036709.85980225,0.02715195,0.00673114,3460.04602835
2018-01-14,13772.00000000,14511.79980469,13268.00000000,14370.79980469,11084099584.00000000,btc,16803098.58608395,btc,971840,231412273727.54806519,-0.04096045,0.00711030,2686.26231295
2018-01-15,13819.79980469,14445.50000000,13641.70019531,13767.29980469,12750799872.00000000,btc,16804973.58608393,btc,949563,232241370682.74127197,0.00347080,0.00901717,2406.50121320
2018-01-16,11490.50000000,13843.09960938,10194.90039062,13836.09960938,18853799936.00000000,btc,16806961.08608391,btc,1001819,193120386359.64718628,-0.16854801,0.00953614,1764.45903354
2018-01-17,11188.59960938,11678.00000000,9402.29003906,11431.09960938,18830600192.00000000,btc,16809048.58608389,btc,1090483,188069714444.22360229,-0.02627391,0.00652304,2480.64073971
2018-01-18,11474.90039062,12107.29980469,10942.50000000,11198.79980469,15020399616.00000000,btc,16811211.08608388,btc,1050790,192906972658.58325195,0.02558862,0.00546409,2962.64520205
2018-01-19,11607.40039062,11992.79980469,11172.09960938,11429.79980469,10740400128.00000000,btc,16813273.58608387,btc,1027992,195158398390.79489136,0.01154694,0.00262447,1991.97142158
2018-01-20,12899.20019531,13103.00000000,11656.20019531,11656.20019531,11801700352.00000000,btc,16815498.58608385,btc,970060,216906482645.88989258,0.11129105,0.00730988,2122.60022421
2018-01-21,11600.09960938,12895.90039062,11288.20019531,12889.20019531,9935179776.00000000,btc,16817836.08608383,btc,988506,195088573812.71380615,-0.10071172,0.00721472,2713.50368593
